Timestamp,Temperature (°C),Humidity (%)
2024-09-05 16:46:42,24.5,99.0
2024-09-05 16:46:44,25.5,99.0
2024-09-05 16:46:46,26.0,99.0
2024-09-05 16:46:48,26.1,99.0
2024-09-05 16:46:50,26.1,99.0
2024-09-05 16:46:52,26.1,99.0
2024-09-05 16:46:54,27.5,99.0
2024-09-05 16:46:56,28.6,99.0
2024-09-05 16:46:58,29.1,99.0
2024-09-05 16:47:00,29.0,99.0
2024-09-05 16:47:02,29.2,99.0
2024-09-05 16:47:04,29.1,99.0
2024-09-05 16:47:06,28.9,99.0
2024-09-05 16:47:08,28.7,99.0
2024-09-05 16:47:11,28.6,99.0
2024-09-05 16:47:13,28.4,99.0
2024-09-05 16:47:15,28.3,99.0
2024-09-05 16:47:17,28.1,99.0
2024-09-05 16:47:19,27.9,99.0
2024-09-05 16:47:21,27.8,99.0
2024-09-05 16:47:23,27.5,99.0
2024-09-05 16:47:25,27.5,99.0
2024-09-05 16:47:27,28.0,99.0
2024-09-05 16:47:29,27.9,99.0
2024-09-05 16:47:31,27.9,99.0
2024-09-05 16:47:33,28.1,99.0
2024-09-05 16:47:35,28.1,99.0
2024-09-05 16:47:37,28.6,99.0
2024-09-05 16:47:39,28.9,99.0
2024-09-05 16:47:41,29.2,99.0
2024-09-05 16:47:43,29.5,99.0
2024-09-05 16:47:45,29.4,99.0
2024-09-05 16:47:47,29.4,99.0
2024-09-05 16:47:49,29.5,99.0
2024-09-05 16:47:51,29.5,99.0
2024-09-05 16:47:53,29.6,99.0
2024-09-05 16:47:55,29.4,99.0
2024-09-05 16:47:57,29.6,99.0
2024-09-05 16:47:59,29.8,99.0
2024-09-05 16:48:01,30.0,99.0
2024-09-05 16:48:03,29.8,99.0
2024-09-05 16:48:05,29.7,99.0
2024-09-05 16:48:07,29.5,99.0
2024-09-05 16:48:09,29.3,99.0
2024-09-05 16:48:11,29.1,99.0
2024-09-05 16:48:13,28.9,99.0
2024-09-05 16:48:15,28.7,99.0
2024-09-05 16:48:17,28.5,99.0
2024-09-05 16:48:19,28.3,99.0
2024-09-05 16:48:21,28.1,99.0
2024-09-05 16:48:23,27.8,99.0
2024-09-05 16:48:25,27.5,99.0
2024-09-05 16:48:27,27.3,99.0
2024-09-05 16:48:29,27.1,99.0
2024-09-05 16:48:31,26.8,99.0
2024-09-05 16:48:33,26.6,97.0
2024-09-05 16:48:35,26.4,96.0
2024-09-05 16:48:37,26.1,95.0
2024-09-05 16:48:39,25.9,94.0
2024-09-05 16:48:41,25.7,93.0
2024-09-05 16:48:43,25.5,92.0
2024-09-05 16:48:45,25.3,91.0
2024-09-05 16:48:47,25.0,90.0
2024-09-05 16:48:49,24.9,89.0
2024-09-05 16:48:51,24.7,89.0
2024-09-05 16:48:53,24.5,88.0
2024-09-05 16:48:55,24.4,88.0
2024-09-05 16:48:57,24.2,87.0
2024-09-05 16:48:59,24.0,87.0
2024-09-05 16:49:01,23.8,86.0
2024-09-05 16:49:03,23.6,86.0
2024-09-05 16:49:05,23.5,86.0
2024-09-05 16:49:07,23.3,86.0
2024-09-05 16:49:09,23.2,86.0
2024-09-05 16:49:11,23.0,85.0
